*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  92  2.046e+03  5.758e-09  4.587e-12  1.000e+04  1.000e+04  0.0039  0.000e+00  1.788e-14  1.137e-12
  93  2.046e+03  5.747e-09  4.616e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.308e-13  -9.027e-11
  94  2.046e+03  5.734e-09  4.570e-12  1.000e+04  1.000e+04  0.0078  0.000e+00  3.556e-14  6.821e-13
  95  2.046e+03  5.728e-09  4.602e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.301e-13  -2.569e-11
  96  2.046e+03  5.740e-09  4.573e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  8.923e-15  -4.547e-13
  97  2.046e+03  5.728e-09  4.602e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.301e-13  -8.254e-11
  98  2.046e+03  5.721e-09  4.559e-12  1.000e+04  1.000e+04  0.0020  0.000e+00  8.895e-15  -4.547e-12
  99  2.046e+03  5.708e-09  4.587e-13  1.000e+03  1.000e+03  1.0000  0.000e+00  2.294e-13  -4.729e-11
*** SOLVE jumping ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
   0  1.436e+06  3.878e+07  3.880e+06  1.000e-09  1.000e-09  0.1250  1.165e+00  4.461e+05  4.381e+05
   1  1.105e+06  2.902e+07  2.979e+06  1.000e-09  1.000e-09  0.1250  1.019e+00  3.421e+05  3.316e+05
   2  8.493e+05  2.193e+07  2.293e+06  1.000e-09  1.000e-09  0.1250  8.917e-01  2.631e+05  2.555e+05
   3  4.957e+05  1.661e+07  1.756e+06  1.000e-09  1.000e-09  0.2500  7.803e-01  3.760e+05  3.536e+05
   4  1.661e+05  9.531e+06  1.014e+06  1.000e-09  1.000e-09  0.5000  5.852e-01  3.727e+05  3.296e+05
   5  4.543e+04  3.278e+06  3.350e+05  1.000e-09  1.000e-09  0.5000  2.926e-01  1.230e+05  1.207e+05
   6  1.874e+04  8.608e+05  8.467e+04  1.000e-09  1.000e-09  1.0000  1.463e-01  4.155e+04  2.670e+04
   7  5.967e+03  3.416e+05  2.974e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  1.487e+04  1.277e+04
   8  3.913e+03  5.358e+04  4.213e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  2.106e+03  2.054e+03
   9  3.889e+03  1.096e+03  1.058e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  5.291e+01  2.366e+01
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  10  3.864e+03  3.225e+02  5.867e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  2.934e+01  2.486e+01
  11  3.860e+03  4.403e+01  9.018e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  4.509e+00  4.479e+00
  12  3.860e+03  2.882e-01  6.812e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  3.406e-02  3.391e-02
  13  3.860e+03  1.318e-08  1.800e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  8.998e-09  9.191e-06
  14  3.860e+03  1.339e-10  1.362e-10  1.000e-08  1.000e-08  0.0020  0.000e+00  2.658e-13  -1.387e-09
